"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 04:22:11 UTC 2023","Sun Sep 24 04:22:52 UTC 2023","41076","","My Network: [FNN-619] Invite manually via sms","","My Network: [FNN-619] Invite manually via sms","should invite manually via sms with valid recipient data","should invite manually via sms with valid recipient data",""
"passed","Sun Sep 24 04:21:37 UTC 2023","Sun Sep 24 04:22:24 UTC 2023","46774","","My Network: [FNN-1232] Invite manually via email with custom message","","My Network: [FNN-1232] Invite manually via email with custom message","should invite manually via email with valid recipient data and with message","should invite manually via email with valid recipient data and with message",""
"passed","Sun Sep 24 04:40:48 UTC 2023","Sun Sep 24 04:40:56 UTC 2023","8038","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project without email","should post project without email",""
"passed","Sun Sep 24 04:18:37 UTC 2023","Sun Sep 24 04:19:14 UTC 2023","36604","","Settings: [FNN-672] Change email address Negative","","Settings: [FNN-672] Change email address Negative","should change email address with wrong password","should change email address with wrong password",""
"passed","Sun Sep 24 04:23:12 UTC 2023","Sun Sep 24 04:23:33 UTC 2023","21398","","My Network: [FNN-620] Invite manually via email and sms Negative","","My Network: [FNN-620] Invite manually via email and sms Negative","should invite manually via sms without data","should invite manually via sms without data",""
"passed","Sun Sep 24 04:07:33 UTC 2023","Sun Sep 24 04:07:36 UTC 2023","3081","","Login: [FNN-563] Log in from the header Negative","","Login: [FNN-563] Log in from the header Negative","should log in with invalid credentials","should log in with invalid credentials",""
"passed","Sun Sep 24 04:39:30 UTC 2023","Sun Sep 24 04:39:40 UTC 2023","9651","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add experience without period until","should add experience without period until",""
"failed","Sun Sep 24 04:42:07 UTC 2023","Sun Sep 24 04:43:01 UTC 2023","54030","","My Profile: [FNN-730] Request reference Negative","","My Profile: [FNN-730] Request reference Negative","should pass step 3 with comments less then 200 chars","should pass step 3 with comments less then 200 chars",""
"passed","Sun Sep 24 04:32:45 UTC 2023","Sun Sep 24 04:33:01 UTC 2023","15834","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR with taken phone number","should subscribe as CR with taken phone number",""
"passed","Sun Sep 24 04:07:36 UTC 2023","Sun Sep 24 04:07:39 UTC 2023","2354","","Login: [FNN-563] Log in from the header Negative","","Login: [FNN-563] Log in from the header Negative","should log in with wrong email format","should log in with wrong email format",""
"passed","Sun Sep 24 04:09:29 UTC 2023","Sun Sep 24 04:09:35 UTC 2023","6437","","My Profile: [FNN-668] Edit account details Negative","","My Profile: [FNN-668] Edit account details Negative","should edit account details with invalid phone number","should edit account details with invalid phone number",""
"passed","Sun Sep 24 04:41:46 UTC 2023","Sun Sep 24 04:41:56 UTC 2023","10350","","Search Project: [FNN-568] Project search","","Search Project: [FNN-568] Project search","should filter projects by Search terms","should filter projects by Search terms",""
"passed","Sun Sep 24 04:27:58 UTC 2023","Sun Sep 24 04:28:39 UTC 2023","41613","","Freelancer search: [FNN-822] Send message","","Freelancer search: [FNN-822] Send message","should check the message as the freelancer user","should check the message as the freelancer user",""
"passed","Sun Sep 24 04:09:35 UTC 2023","Sun Sep 24 04:09:42 UTC 2023","7168","","My Profile: [FNN-668] Edit account details Negative","","My Profile: [FNN-668] Edit account details Negative","should edit account details with invalid Twitter, LinkedIn and Website urls","should edit account details with invalid Twitter, LinkedIn and Website urls",""
"passed","Sun Sep 24 04:17:25 UTC 2023","Sun Sep 24 04:17:34 UTC 2023","9456","","Post Project: [FNN-649] Post project with account Negative","","Post Project: [FNN-649] Post project with account Negative","should post project without End date","should post project without End date",""
"passed","Sun Sep 24 04:07:42 UTC 2023","Sun Sep 24 04:07:45 UTC 2023","2809","","Login: [FNN-574] Log in from the footer Negative","","Login: [FNN-574] Log in from the footer Negative","should log in without email","should log in without email",""
"passed","Sun Sep 24 04:41:19 UTC 2023","Sun Sep 24 04:41:25 UTC 2023","6441","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add certificate without organization","should add certificate without organization",""
"passed","Sun Sep 24 04:19:14 UTC 2023","Sun Sep 24 04:21:06 UTC 2023","111562","","Settings: [FNN-676] Change profile settings","","Settings: [FNN-676] Change profile settings","it's not possible to contact me through the contact button on my profile","it's not possible to contact me through the contact button on my profile",""
"passed","Sun Sep 24 04:42:36 UTC 2023","Sun Sep 24 04:42:45 UTC 2023","8552","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project without repeat password","should post project without repeat password",""
"skipped","Sun Sep 24 04:48:24 UTC 2023","Sun Sep 24 04:48:24 UTC 2023","1","","My Network: [FNN-1027] Invite freelancers","","My Network: [FNN-1027] Invite freelancers","should accept an invitation","should accept an invitation",""
"passed","Sun Sep 24 04:38:59 UTC 2023","Sun Sep 24 04:39:02 UTC 2023","3417","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add experience without data","should add experience without data",""
"passed","Sun Sep 24 04:07:43 UTC 2023","Sun Sep 24 04:08:06 UTC 2023","22349","","Login: [FNN-563] Log in from the header Negative","","Login: [FNN-563] Log in from the header Negative","should log in without credentials","should log in without credentials",""
"passed","Sun Sep 24 04:10:18 UTC 2023","Sun Sep 24 04:10:46 UTC 2023","27242","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe without data","should subscribe without data",""
"passed","Sun Sep 24 04:38:47 UTC 2023","Sun Sep 24 04:39:37 UTC 2023","49737","","[FNN-743] Archive and restore message","","[FNN-743] Archive and restore message","should restore the message","should restore the message",""
"passed","Sun Sep 24 04:07:13 UTC 2023","Sun Sep 24 04:07:55 UTC 2023","41749","","Login: [FNN-648] Log in from the footer Positive","","Login: [FNN-648] Log in from the footer Positive","should log in with valid credentials","should log in with valid credentials",""
"passed","Sun Sep 24 04:41:08 UTC 2023","Sun Sep 24 04:41:14 UTC 2023","5812","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add certificate without data","should add certificate without data",""
"passed","Sun Sep 24 04:40:12 UTC 2023","Sun Sep 24 04:40:17 UTC 2023","5502","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add education without education","should add education without education",""
"passed","Sun Sep 24 04:19:06 UTC 2023","Sun Sep 24 04:19:23 UTC 2023","17053","","Settings: [FNN-675] Change password Negative","","Settings: [FNN-675] Change password Negative","should change password with short new password","should change password with short new password",""
"passed","Sun Sep 24 04:08:57 UTC 2023","Sun Sep 24 04:09:04 UTC 2023","6550","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe without phone number","should subscribe without phone number",""
"passed","Sun Sep 24 04:39:54 UTC 2023","Sun Sep 24 04:43:04 UTC 2023","189324","","My Network: [FNN-664] Invite freelancer","","My Network: [FNN-664] Invite freelancer","should invite freelancer","should invite freelancer",""
