"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Apr 16 07:24:55 UTC 2024","Tue Apr 16 07:24:55 UTC 2024","1","","My Transactions: [FNN-1431] Hourly project: In retrospect. Positive","","My Transactions: [FNN-1431] Hourly project: In retrospect. Positive","should close the period","should close the period",""
"passed","Tue Apr 16 06:12:12 UTC 2024","Tue Apr 16 06:12:41 UTC 2024","29688","","Upgrade: [FNN-659] Upgrade account Negative","","Upgrade: [FNN-659] Upgrade account Negative","should upgrade account to Standard 1 month: Lost card decline","should upgrade account to Standard 1 month: Lost card decline",""
"passed","Tue Apr 16 06:38:22 UTC 2024","Tue Apr 16 06:40:49 UTC 2024","147062","","Freelancer search: [FNN-816] Create list Functionality","","Freelancer search: [FNN-816] Create list Functionality","should create a list of freelancers","should create a list of freelancers",""
"failed","Tue Apr 16 07:01:25 UTC 2024","Tue Apr 16 07:03:29 UTC 2024","124369","","CR: [FNN-1888] My Dashboard page integrity as Freelancer","","CR: [FNN-1888] My Dashboard page integrity as Freelancer","should verify the integrity of the My Dashboard page as freelancer","should verify the integrity of the My Dashboard page as freelancer",""
"passed","Tue Apr 16 06:47:09 UTC 2024","Tue Apr 16 06:48:17 UTC 2024","67305","","Freelancer search: [FNN-924] Freelancer search as CR user","","Freelancer search: [FNN-924] Freelancer search as CR user","should filter freelancers by Years of experience","should filter freelancers by Years of experience",""
"passed","Tue Apr 16 06:46:15 UTC 2024","Tue Apr 16 06:46:46 UTC 2024","31939","","Freelancer search: [FNN-924] Freelancer search as CR user","","Freelancer search: [FNN-924] Freelancer search as CR user","should filter freelancers by Location","should filter freelancers by Location",""
"passed","Tue Apr 16 06:09:29 UTC 2024","Tue Apr 16 06:11:27 UTC 2024","117890","","Upgrade","","Upgrade","[FNN-658] Upgrade account Positive: Standaard 1 month","[FNN-658] Upgrade account Positive: Standaard 1 month",""
"passed","Tue Apr 16 07:04:09 UTC 2024","Tue Apr 16 07:05:28 UTC 2024","78868","","Post Project: [FNN-587] Post project with account Positive","","Post Project: [FNN-587] Post project with account Positive","should post a project as a registered user with valid project data","should post a project as a registered user with valid project data",""
"passed","Tue Apr 16 07:01:15 UTC 2024","Tue Apr 16 07:01:27 UTC 2024","12329","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR without repeat password","should subscribe as CR without repeat password",""
"passed","Tue Apr 16 06:07:13 UTC 2024","Tue Apr 16 06:07:47 UTC 2024","34138","","Login: [FNN-574] Log in from the Login page Negative","","Login: [FNN-574] Log in from the Login page Negative","should log in with valid email and invalid password","should log in with valid email and invalid password",""
